Relative Time,Date,Time Stamp UTC,Volt,Volt,PSI ,Pounds
1389.37,45906,0.944525463,0.865478516,0.866394043,981.5826416,490.9426267
1389.38,45906,0.944525463,0.866699219,0.867919922,982.4981689,491.6909344
1389.39,45906,0.944525463,0.867919922,0.869445801,984.1003418,492.4052281
1389.4,45906,0.944525463,0.869140625,0.870361328,985.0158691,493.1535358
1389.41,45906,0.944525463,0.869140625,0.871276855,984.5581055,493.6977596
1389.42,45906,0.944525463,0.869140625,0.870666504,984.1003418,493.8338155
1389.43,45906,0.944525463,0.869140625,0.870056152,983.4136963,493.5617036
1389.44,45906,0.944525463,0.867919922,0.869140625,982.4981689,492.8474099
1389.45,45906,0.944525463,0.866699219,0.867614746,981.5826416,491.8950183
1389.46,45906,0.944525463,0.866699219,0.866394043,980.2093506,491.1807246
1389.47,45906,0.944525463,0.865478516,0.866394043,978.3782959,490.9086128
1389.48,45906,0.944525463,0.865478516,0.866088867,976.0894775,490.5684729
1389.49,45906,0.944525463,0.863037109,0.865783691,973.5717773,489.9222072
1389.5,45906,0.944525463,0.861816406,0.865478516,970.5963135,489.2079135
1389.51,45906,0.944525463,0.860595703,0.864868164,967.6208496,488.6977037
1389.52,45906,0.944525463,0.860595703,0.864868164,965.7897949,488.4255918
1389.53,45906,0.944525463,0.860595703,0.864868164,964.6453857,488.4255918
1389.54,45906,0.944525463,0.860595703,0.864868164,963.2720947,488.3575639
1389.55,45906,0.944525463,0.860595703,0.863952637,961.44104,487.8473541
1389.56,45906,0.944525463,0.858154297,0.861816406,958.9233398,486.7589065
1389.57,45906,0.944525463,0.858154297,0.859375,956.1767578,485.5684171
1389.58,45906,0.944525463,0.856933594,0.85723877,954.1168213,484.7180674
1389.59,45906,0.944525463,0.856933594,0.855102539,952.2857666,483.9357458
1389.6,45906,0.944525463,0.855712891,0.852661133,949.7680664,482.8813122
1389.61,45906,0.944525463,0.853271484,0.850524902,947.479248,481.7928647
1389.62,45906,0.944525463,0.852050781,0.848693848,944.732666,480.942515
1389.63,45906,0.944525463,0.849609375,0.84777832,942.4438477,480.3642773
1389.64,45906,0.944525463,0.848388672,0.846557617,940.1550293,480.0581514
1389.65,45906,0.944525463,0.847167969,0.845947266,938.5528564,479.4118857
1389.66,45906,0.944525463,0.844726563,0.844421387,936.4929199,478.3574521
1389.67,45906,0.944525463,0.842285156,0.842590332,933.0596924,477.0649207
1389.68,45906,0.944525463,0.83984375,0.840148926,928.4820557,475.6023193
1389.69,45906,0.944525463,0.836181641,0.837097168,923.9044189,473.8676061
1389.7,45906,0.944525463,0.832519531,0.833740234,920.0134277,472.0648649
1389.71,45906,0.944525463,0.830078125,0.831298828,916.809082,470.6022635
1389.72,45906,0.944525463,0.827636719,0.828857422,914.0625,469.1736761
1389.73,45906,0.944525463,0.825195313,0.82611084,911.315918,467.5750188
1389.74,45906,0.944525463,0.822753906,0.823059082,907.4249268,465.7722776
1389.75,45906,0.944525463,0.8203125,0.819702148,903.3050537,463.7314384
1389.76,45906,0.944525463,0.815429688,0.815124512,897.8118896,460.9422916
1389.77,45906,0.944525463,0.810546875,0.809326172,892.0898438,457.4388511
1389.78,45906,0.944525463,0.804443359,0.803527832,886.138916,454.0034386
1389.79,45906,0.944525463,0.799560547,0.799255371,880.645752,451.0102079
1389.8,45906,0.944525463,0.794677734,0.794372559,874.9237061,448.0169772
1389.81,45906,0.944525463,0.789794922,0.789489746,869.2016602,444.8536765
1389.82,45906,0.944525463,0.783691406,0.784301758,863.2507324,441.7584039
1389.83,45906,0.944525463,0.778808594,0.779724121,856.842041,438.6291172
1389.84,45906,0.944525463,0.773925781,0.774536133,850.2044678,435.2617327
1389.85,45906,0.944525463,0.767822266,0.768737793,843.5668945,431.6902642
1389.86,45906,0.944525463,0.762939453,0.763549805,837.1582031,428.1528097
1389.87,45906,0.944525463,0.756835938,0.758056641,830.7495117,424.7514112
1389.88,45906,0.944525463,0.751953125,0.752563477,824.1119385,421.2479707
1389.89,45906,0.944525463,0.745849609,0.746765137,817.7032471,417.6084743
1389.9,45906,0.944525463,0.740966797,0.741882324,812.210083,414.2410897
1389.91,45906,0.944525463,0.737304688,0.737304688,807.4035645,411.3499009
1389.92,45906,0.944525463,0.732421875,0.733337402,802.8259277,408.86688
1389.93,45906,0.944525463,0.728759766,0.729064941,798.248291,406.2478031
1389.94,45906,0.944525463,0.723876953,0.72479248,793.6706543,403.3226004
1389.95,45906,0.944525463,0.720214844,0.720214844,788.4063721,400.2613417
1389.96,45906,0.944525463,0.714111328,0.715026855,783.1420898,397.0300131
1389.97,45906,0.944525463,0.709228516,0.709228516,776.9622803,393.2204467
1389.98,45906,0.944525463,0.701904297,0.702209473,769.8669434,388.7306007
1389.99,45906,0.944525463,0.694580078,0.694580078,762.0849609,383.6285029
1390,45906,0.944537037,0.686035156,0.686340332,753.8452148,378.0842232
1390.01,45906,0.944537037,0.676269531,0.67779541,744.9188232,372.3358597
1390.02,45906,0.944537037,0.667724609,0.669250488,735.9924316,366.6895381
1390.03,45906,0.944537037,0.660400391,0.661010742,727.06604,361.1792725
1390.04,45906,0.944537037,0.651855469,0.653076172,718.1396484,355.8730908
1390.05,45906,0.944537037,0.64453125,0.644836426,709.4421387,350.6009231
1390.06,45906,0.944537037,0.635986328,0.63659668,700.7446289,345.2607273
1390.07,45906,0.944537037,0.627441406,0.628356934,692.0471191,339.9885596
1390.08,45906,0.944537037,0.620117188,0.620727539,683.5784912,334.9544898
1390.09,45906,0.944537037,0.612792969,0.61340332,676.0253906,330.4646437
1390.1,45906,0.944537037,0.606689453,0.606994629,668.7011719,326.3149375
1390.11,45906,0.944537037,0.600585938,0.601196289,662.0635986,322.1992453
1390.12,45906,0.944537037,0.594482422,0.594787598,655.1971436,318.083553
1390.13,45906,0.944537037,0.588378906,0.588684082,648.3306885,314.1719447
1390.14,45906,0.944537037,0.582275391,0.582885742,641.9219971,310.3963923
1390.15,45906,0.944537037,0.576171875,0.577392578,635.2844238,306.62084
1390.16,45906,0.944537037,0.571289063,0.571594238,628.8757324,302.7772596
