time,pressure (MPA)
2.102,0.133373122
2.108,0.132122774
2.115,0.124883146
2.122,0.121208721
2.129,0.120214311
2.136,0.113882693
2.142,0.106819125
2.149,0.104887362
2.156,0.10305993
2.163,0.095843125
2.17,0.095875728
2.176,0.096014294
2.183,0.088670334
2.19,0.083936292
2.197,0.08138017
2.203,0.077785624
2.21,0.074254655
2.217,0.073343385
2.224,0.066946559
2.231,0.063337342
2.237,0.06160283
2.244,0.059680849
2.251,0.056042287
2.258,0.052548812
2.265,0.052498277
2.271,0.052508058
2.278,0.048840154
2.285,0.047384403
2.292,0.045203223
2.299,0.045199962
2.305,0.042281941
2.312,0.041543469
2.319,0.041499454
2.326,0.038058145
2.332,0.037073517
2.339,0.034403282
2.346,0.034505984
2.353,0.031874874
