time(s),force(N),pressure(Pa)
2.3990,1167.4748,10014884.0515
2.4060,1167.3866,10034560.2673
2.4130,1171.2652,10056052.9487
2.4200,1173.3607,10076945.5478
2.4270,1175.6989,10096062.2272
2.4330,1175.6936,10106266.8719
2.4400,1173.5559,10115892.5182
2.4470,1170.6391,10105155.9085
2.4540,1166.5471,10087142.0833
2.4600,1158.9780,10053132.0070
2.4670,1151.3030,10005762.7988
2.4740,1140.6123,9937783.1925
2.4810,1133.4508,9851963.2983
2.4880,1118.3152,9770436.4260
2.4940,1102.2770,9652598.0804
2.5010,1084.4733,9524629.6950
2.5080,1062.3905,9358478.2278
2.5150,1035.0599,9162689.1768
2.5210,1008.3125,8944189.4392
2.5280,976.2086,8700379.1985
2.5350,940.8730,8418757.2785
2.5420,904.4618,8117520.7728
2.5490,866.8348,7816670.2660
2.5550,827.8262,7499859.1889
2.5620,788.3182,7174757.2435
2.5690,749.6342,6849043.8627
2.5760,709.2642,6526992.6065
2.5820,668.3181,6189559.7783
2.5890,631.7958,5856891.9290
2.5960,591.7204,5521825.3718
2.6030,551.7545,5185119.1299
2.6100,512.0207,4862487.2534
2.6160,480.2909,4554340.0689
2.6230,440.0480,4262326.9920
2.6300,408.7938,3976952.1242
2.6370,380.5235,3703995.7185
2.6430,352.0820,3472749.9061
2.6500,324.6226,3244622.9004
2.6570,301.2137,3019045.4341
2.6640,273.1631,2813001.4612
2.6710,252.3844,2621067.5342
2.6770,233.7461,2443410.7031
2.6840,214.0428,2277805.7974
2.6910,197.4355,2122896.9553
2.6980,181.7917,1982456.5867
2.7040,168.4612,1850576.3127
2.7110,154.2635,1737352.1143
2.7180,141.8585,1622295.2318
2.7250,130.7373,1520574.7754
2.7320,121.0437,1438285.6363
2.7380,112.5067,1357347.4936
2.7450,103.7924,1277431.1128
2.7520,95.8456,1201780.1827
2.7590,89.4959,1141415.1356
2.7650,82.4235,1082183.7578
